Company Name,Competitors,Founded,Headquarters,Industry,Job Description,Job Title,Location,Rating,Revenue,Salary Estimate,Sector,Size,Type of ownership
"h2o.ai
4.1",-1,-1,-1,-1,"Company Overview

H2O.ai is the open source leader in AI with a mission to democratize AI for everyone. H2O.ai is transforming the use of AI with software with its category-creating visionary open source machine learning platform, H2O. More than 18,000 companies use open-source H2O in mission-critical use cases for Finance, Insurance, Healthcare, Retail, Telco, Sales and Marketing. H2O Driverless AI uses ""AI to do AI"" in order to provide an easier, faster and cost-effective means of implementing data science. H2O.ai partners with leading technology companies such as NVIDIA, IBM, AWS, Intel, Microsoft Azure and Google Cloud Platform and is proud of its growing customer base which includes Capital One, Progressive Insurance, Comcast, Walgreens and MarketAxes. For more information and to learn more about how H2O.ai is driving an AI Transformation, visit www.h2o.ai.

Job Summery:
Can you learn demonstrations (demos) built with R and/or Python? If you think of a cool demo and it doesn't exist, will you raise your hand to get it built?
Can you code proficiently in at least one language used by data scientists and/or data engineers, and does it excite you to learn more?
Are you skilled at predictive modeling?
Do you view communication skills just as important as technical ones? Can you listen to the needs of your peers and customers and adapt where need be? Can you write a technical proposal and explain it in simple terms?
Do you have a competitive drive to be the best you can be?
Can you finish what you start? Can you own assignments given to you?
If the answer is ""yes"" to these questions, you potentially could be an excellent fit to join the team of customer engineering makers at H2O.ai. We deliver world-class solution experiences for our customers and drive revenue for our organization. Some of the technical projects you will work on include: training advanced machine learning models at scale in distributed environments, influencing next generation data science tools and data products, and pioneering ideas and products in new areas, such as machine learning interpretability, automatic machine learning, model management, deployment pipelines, and GPU computing.

Qualifications and Skills:

A great candidate for Customer Data Scientist/Sales Engineer should:
Know Python, R, Java, Scala, Spark.
Have experience with Big Data including Hadoop, Spark, Kafka.
Have a working knowledge of ML algorithms for Regression and Classification problems.
Understanding of Supervised, Unsupervised, Deep learning techniques
Knowledge of XGBoost, Linear regression, GBM, GLM, LightGBM, Random Forest and other common ML algorithms
Experience using TensorFlow, Keras, Scikit libraries for performing ML .
Have strong interpersonal, communication and presentation skills.
2+ years experience with performing customer facing activities as part of a pre-sales team or professional services team.
Pre-sales experience is nice to have but not required.
Comfortable with traveling up to 50%.
We are interested in candidates coming from AI/ ML startups and have several years of work experience after completing their MSc or PhD degrees.

H2O.ai Perks!
Flexible work hours and time off.
H2O.ai is an equal opportunity employer. We welcome and encourage diversity in the workplace regardless of race, gender, sexual orientation, gender identity, disability or veteran status.

Powered by JazzHR",Customer Data Scientist/Sales Engineer,"Chicago, IL",4.1,-1,96 k$-154 k$ (Esti. de Glassdoor),-1,-1,Entreprise non cotée en bourse
"Spectrum Communications and Consulting
3.4",-1,-1,-1,-1,"What’s significantly better than working on a typical data science team? How about working on a data science team in which you’re directly making an impact in the revolutionary field of artificial intelligence even as an entry level team member? (well, statistically significant that is). Pardon the pun, but at Spectrum we’re certain that our team is pumped up to work not only with like-minded data-savvy and fun loving professionals, but also to work with cutting edge new tools like our predictive, artificially intelligent proprietary software. So, if your confident that you want to make a direct impact in your next job today, then please keep on reading.

Responsibilities

Beyond working with state of the art technology you will have many different fantastic projects to work on as a Data Scientist at Spectrum. Here are just a few different responsibilities you can expect off the bat:
Work with IT teams, management and/or data scientists to determine organizational goals
Mine data from primary and secondary sources
Clean and prune data to discard irrelevant information
Analyze and interpret results using standard statistical tools and techniques
Pinpoint trends, correlations and patterns in complicated data sets
Identify new opportunities for process improvement
Provide concise data reports and clear data visualizations for management
Some Characteristics That Define You

We understand that as a Data Scientist for Spectrum, you have many different professional goals and personal interests. As such here are just a few different things that typically define our team members on the Data Science team:
Analytical. In order to solve problems and build innovative new digital marketing campaigns, it is essential that you know how to take an idea and analyze it from all of its angles.
Patient. As a data scientist, you know that you work with extremely large data sets on a daily basis. As such we are looking for someone who is not only meticulous, but patient enough to sit and sift through that data in a thorough way.
Creative. Beyond just analyzing data sets, you are an explorer and a puzzle solver. Pulling insights out of your data and understanding how those insights can better shape our tools is something that you live to do.
Student. More so than most industries, the field of data science is always changing and evolving. As such, you are always looking to learn new things and gain new skills.
Business-Savvy. Beyond the wicked data science skills you bring to the table, we also want you to consider the business implications of our data tools. From the ways our team will use them to how our customers will use them, we always want you to keep the user and the business application in mind.
Required Skills and Experience

On top of the many intangible skills you bring to the table, there are many skills that can help improve the efficiency and success of your work at Spectrum. Here are a few of those required skills and experience that you will come in with as a Data Scientist on our team:
A bachelor’s degree/pursuing a bachelor's degree in computer science, mathematics, statistics, information systems, or a related field
Experience with statistical modeling
Fundamental knowledge of R and/or SAS languages
Experience with SQL databases and database querying languages
Experience with data mining and data cleaning
Experience with data visualization and reporting techniques
Written and verbal expression
Benefits

As a Data Scientist at Spectrum there are a ton of fantastic perks and benefits that come along with your work. Here are just a few of the benefits you can expect when joining the Spectrum family:
Comprehensive medical & dental insurance
Retirement planning & company matching
Generous PTO, including sick days & holidays
A state-of-the-art office environment
Nintendo Switch in-office gaming such as FIFA, Arms, Mario Kart, and Rocket League
Year-round gym memberships
Paid continuing education
Casual dress code
Flexible scheduling
Free-Lunch-Friday
Company sponsored parties and group activities outside of the office",Data Scientist,"Chicago, IL",3.4,-1,96 k$-154 k$ (Esti. de Glassdoor),-1,-1,Entreprise non cotée en bourse
"Ecolab
3.6",-1,-1,-1,-1,"JOB DUTIES:Senior Data Scientist for Ecolab, Inc. at its facility in Naperville, IL. Actively engage with internal business stakeholders to understand business challenges and deliver robust, data driven solutions. Integrate inputs from subject matter experts with statistical, mathematical, predictive modeling and business analysis skills to manage and manipulate complex high-volume data from a variety of sources. Validate proof of concept (POCs) by analyzing organizational data and present insights to determine the potential to be taken up as a full-scale funded analytics project. Collaborate closely with Business Partners/Analysts, Data Engineers, System Administrators and other Data Scientists to develop and integrate innovative AI/ML models into useable data products and services. Leverage open source tools like Python along with Microsoft Azure cloud based big data/AI environments to implement scalable predictive/prescriptive models. Present the results of your work to all levels within the organization, offering actionable real-time insights that have a measurable and ongoing impact on business. Partner with customers and leading digital companies to leverage cutting edge technology (machine learning, streaming analytics and real big data) to creatively solve problems and disrupt existing business models.

REQUIREMENTS: Masters degree in Data Science, Business Analytics, Math, Statistics or related field with an emphasis on analytics and four (4) years of experience working and participating on a cross functional project team, from inception to delivery. Experience must also include two (2) years of post-bachelors progressive experience in all of the following: Deliver data-driven solutions by applying problem-solving and analytics to business challenges; Articulate & present complex mathematical solutions in a simple manner that most will understand; Use statistics/analytics/visualization tools, including Microsoft Azure Suite, Azure ML, PowerBI, Python and SQL; Manipulate complex high-volume data from a variety of sources using statistical, mathematical, predictive modeling and business analysis.

EX: OUT

Our Commitment to Diversity and Inclusion

At Ecolab, we believe the best teams are diverse and inclusive, and we are on a journey to create a workplace where every associate can grow and achieve their best. We are committed to fair and equal treatment of associates and applicants. We recruit, hire, promote, transfer and provide opportunities for advancement on the basis of individual qualifications and job performance. In all matters affecting employment, compensation, benefits, working conditions, and opportunities for advancement, we will not discriminate against any associate or applicant for employment because of race, religion, color, creed, national origin, citizenship status, sex, sexual orientation, gender identity and expressions, genetic information, marital status, age, disability, or status as a covered veteran.

In addition, we are committed to furthering the principles of Equal Employment Opportunity (EEO) through Affirmative Action (AA). Our goal is to fully utilize minority, female, disabled and covered veteran individuals at all levels of the workforce. Ecolab is a place where you can grow your career, own your future and impact what matters.

We will consider for employment all qualified applicants, including those with criminal histories, in a manner consistent with the requirements of applicable state and local laws, including the City of Los Angeles Fair Chance Initiative for Hiring Ordinance and the San Francisco Fair Chance Ordinance.",Sr Data Scientist,"Naperville, IL",3.6,-1,96 k$-154 k$ (Esti. de Glassdoor),-1,-1,Entreprise cotée en bourse
"Strike Social
4.3",-1,-1,-1,-1,"Job Description
Why Work With Us

Strike is a leader in the fast-growing marketing technology sector. We're not just succeeding, we're kicking butt. Come help build the next generation of advertising and marketing technology using the latest technologies including Machine Learning, Real-time Analytics, and Experimental Modeling on the Strike Marketing Cloud/Data Warehouse. Strike has offices in Chicago, San Francisco, Los Angeles, New York, Singapore, Australia, the Philippines and Poland.

Data Scientist (Entry Level)

Who you are:

You are someone who takes pride in your work, seeks order in chaos, and wants the opportunity to work with like-minded individuals. You are a leader, not a follower, with an innovative spirit who wants to collaborate with a team of brilliant minds in our quest to generate amazing insights.

What you’ll do:

We are working on some challenging problems that require bright minds and grit to help us solve. We work in an agile environment with lots of cool toys. Our Data Scientists research and create our learning infrastructure using Python and then work with Data Engineering to build micro services into our data lake.

A career at Strike is an exciting journey where you will:
Partner with product development teams to research, design and implement learning systems that recommend, optimize, and predict marketing campaign performance for top brands across multiple advertising platforms including YouTube (Adwords and DV360), Facebook/Instagram, LinkedIn, Snapchat, Pinterest and more
Develop algorithms and models that inform customer activities
Participate in the architecture and development of a closed-loop learning system reading and feeding our private data warehouse
Play a key role architecting and building our Marketing Data Warehouse
Report progress, issues and status at daily and weekly stand-ups
Stay abreast of emerging technologies and new design approaches
Provide technical leadership both within and outside the technology team
What you need:
Bachelor’s degree or higher - Quantitative field such as Computing Science, Statistics, Mathematics, Physics, or Engineering
2+ years of strong mathematical and statistical data analysis experience
2+ years of experimental data / modeling experience
2+ years of Machine Learning experience including black box and bespoke solutions
2+ years of Python development experience
Agile software development methodology experience and test-driven development experience
Take pride in writing clean dependable algorithms
Strong ability to analyze problems and formulate effective solutions
Sharp critical thinking skills, including systems and business analysis, problem analysis and resolution, and sound judgment/decision making ability
Proven ability to work in a rapid release product environment
Impress us with:
Masters or PhD - Quantitative field such as Statistics, Mathematics, Physics, or Engineering
Experience with Database optimization and maintenance
Experience to develop and deploy Machine Learning and Algorithmic micro services
Working at Strike Social

Strike is a close-knit, work-hard/play-hard environment. If you want a fun, challenging and rewarding experience, apply to join our team! Aside from standard (and generous) employee benefits, Strike offers an open office environment, casual dress code, a spectacular Loop location and frequent team outings.

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status or disability status.

Direct inquiries only, no recruiters please.

Powered by JazzHR",Data Scientist (Entry Level),"Chicago, IL",4.3,-1,96 k$-154 k$ (Esti. de Glassdoor),-1,-1,Entreprise non cotée en bourse
"Nielsen
3.6",-1,-1,-1,-1,"Data Scientist - 63961

Data Science - USA Chicago, Illinois

YOU’LL LEVERAGE DATA TO IMPACT GLOBAL BUSINESSES
Nielsen Precima is a global strategy and analytics company that provides tailored, data-driven solutions that drive sales, boost profitability, and build customer loyalty. Leveraging our deep analytics expertise, Precima helps organizations improve their competitive position across all facets of planning and operations from assortment optimization, price optimization, promotional optimization, targeted marketing, and supplier collaboration.
In this client facing role you will be responsible for generating and leveraging advanced analytics to deliver and build customer insights and customer-centric strategies for our clients. This role is an integral part of the Data Science solution team. You bring relevant retail or CPG industry experience and expert capabilities in developing and interpreting segmentation, optimization and statistical modeling for both marketing and merchandising.

WHAT YOU’LL DO:
Develop and analyze results and present insights and recommendations to our clients using ML/Statistics methods
Translate business constraints into analytical deliverables for those clients
Leverage your analytical background and related retail experience to motivate others to action both internally and with our external clients
Lead your team in the development and communication of analytical methodology and best practices within retail merchandising and/or marketing.
WE’RE LOOKING FOR PEOPLE WHO HAVE:
Master’s degrees – Statistics, Mathematics, Economics
4+ years relevant work experience including superior analytical/modeling skills, experience with database concepts and analyzing customer level and/or item level data
Retail or CPG industry experience
Strong technical skills - SQL, Python, Unix shell programming
Strong interpersonal skills - diplomatic, professional and composed
Strong presentation skills, ability to quickly adjust based on client needs
Demonstrated curiosity, initiative and passion for the application of statistical sciences to address business challenges and learning new statistical/analytical methods
Proven problem solving ability, ability to 'think outside the box‘
Excellent ability to be part of multiple projects/initiatives of varying size and complexity, while simultaneously meeting and exceeding deadlines in a fast paced environment
Team player with high energy and demonstrated initiative
Ability to translate analytical results into clear written and verbal communication to internal/external stakeholders #LI-AK3
ABOUT NIELSEN PRECIMA

Nielsen Precima is a wholly-owned business unit of Nielsen. Nielsen Precima is a global strategy and analytics company that provides SaaS solutions for retail clients that drive sales, boost profitability, and build customer loyalty. Leveraging our deep analytics expertise, we help retail organizations improve their competitive position across assortment, price, promotional, targeted marketing, and supplier collaboration.

Nielsen is committed to hiring and retaining a diverse workforce. We are proud to be an Equal Opportunity/Affirmative Action-Employer, making decisions without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability status, age, marital status, protected veteran status or any other protected class.

Primary Location: Chicago,Illinois",Data Scientist,"Chicago, IL",3.6,-1,96 k$-154 k$ (Esti. de Glassdoor),-1,-1,Entreprise cotée en bourse
"Waystar
3.3",-1,-1,-1,-1,"We are looking for an experienced Data Scientist, who has previously supported Healthcare software applications. The data scientist role involves solving technical, data-driven Healthcare problems using computer science, mathematical, predictive modeling and statistical methods, & knowledge.",Data Scientist (REMOTE),"Chicago, IL",3.3,-1,96 k$-154 k$ (Esti. de Glassdoor),-1,-1,Entreprise non cotée en bourse
"BMO
3.2",-1,-1,-1,-1,"Address:111 W Monroe - 115 S LaSalleJob Family Group:Data Analytics & ReportingWHY BMO?At BMO we have a shared purpose; we put the customer at the centre of everything we do - helping people is in our DNA. For 200 years we have thought about the future-the future of our customers, our communities and our people. We help our customers and our communities by working together, innovating and pushing boundaries to bring them our very best every day. Together we're changing the way people think about a bank.WHAT IS THE OPPORTUNITY?The Data Scientist works with management and business partners to support the development and implementation of statistical models & advanced analytical solutions. We are looking for a strategic thinker with the ability to dissect business problems, conduct research and advanced statistical analysis to identify trends, variations, patterns, and insights relating to branch performance and customer activities, and build end-to-end analytical solutions to drive profitable growth for the businessThis is an exciting opportunity that is on the forefront of a critical capability, providing thought leadership to U.S. Personal and Business Banking on the value of data and analytics. The incumbent will get to work with and support multiple lines of business around the enterprise to help them achieve their objectives.So if you have a strong statistical modeling expertise, like to work in a start-up mode and have a long term orientation, join us to make meaningful difference in the lives of our customers, the community we serve in and the company.WHAT WILL YOU DO?* Support Senior Management on analytical projects of varying sizes and complexities, including:* Participate in business partner interviews, brainstorming sessions, and workshops to capture business objectives and prioritize opportunities* Research & leverage state of art modeling techniques, participates in modeling innovation.* Identify best analytical techniques that can be effectively applied to achieve business objectives and interpret next best action through data driven insights* Building end to end automated analytic solutions that are intuitive, simple to maintain, and drive real business outcomes* Leads the development and implementation of innovative analytical solutions, including customer segmentation, optimization, prescriptive analytics and machine learning algorithm & recommendations to solve business problems.* Data gathering and cleansing, statistical transformation, feature engineering & selection* Build & deploy response models leveraging analytical techniques such as linear/logistic regression models, Gradient Boosting, Random Forest, Attribution to determine Product Propensity as well as Customer Contact Channel Preference* Conduct Model Validation & documentation including KS, Gini Coefficient, ROC Curve, PSI* Build Strategies & Design Experiment & conduct A/B testing to prove or disprove hypothesis* Evaluate & deploy new tools, techniques & technologies to advance analytical capabilities* Operates as a subject matter expert on statistical analysis, test & design of experiment analysis methodology & financial impact analysis.Minimum Qualification:At a minimum, here's what we need from you:* Bachelor's degree in Mathematics, Statistics, Analytics, Computer Science And/Or Physics or other quantitative disciplines* 4+ years of experience in credit risk, fraud risk, marketing analytics, optimization, operation analytics, Modeling/Data Science or related.* Advanced skills in SQL or SAS a must, including relevant packages and statistical methodologies* Deep understanding of statistical modeling techniques like Regression, Decision Trees, Segmentation & ClassificationPreferred Qualification:If we had our say, we'd also look for:* Master's degree or Ph.D. in Mathematics, Statistics, Analytics, Computer Science and/or Physics, preferably in banking & financial services industry* 2+ years of experience in credit risk, fraud risk, marketing analytics, optimization, operation analytics, Modeling/Data Science or related.* Experience in building response models & propensity scores.* Knowledge of Python, R, Spark or HiveQL will be preferred* Knowledge of machine learning techniques like Gradient Boosting, Random Forest, SVM, Pathing & Attribution etc. a strong plus* Experience in building and presenting data driven insights through business intelligence toolsQualitative skills:* Exhibits advanced critical thinking skills, integrative skills and creativity to drive innovation* Demonstrates ability to build a good fact base, apply sound reasoning, and generate relevant recommendations that get implemented and lead to business success* Able to work highly independently and manage multiple priorities in an agile fast paced environment* Demonstrates strong attention to detail and a high level of due diligenceWe're here to helpAt BMO Harris Bank we are driven by a shared Purpose: Boldly Grow the Good in business and life. It calls on us to create lasting, positive change for our customers, our communities and our people. By working together, innovating and pushing boundaries, we transform lives and businesses, and power economic growth around the world.As a member of the BMO Harris Bank team you are valued, respected and heard, and you have more ways to grow and make an impact. We strive to help you make an impact from day one - for yourself and our customers. We'll support you with the tools and resources you need to reach new milestones, as you help our customers reach theirs. From in-depth training and coaching, to manager support and network-building opportunities, we'll help you gain valuable experience, and broaden your skillset.To find out more visit us at https://bmoharriscareers.com.BMO Harris Bank is committed to an inclusive, equitable and accessible workplace. By learning from each other's differences, we gain strength through our people and our perspectives. BMO Harris Bank N.A. is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law. Accommodations are available on request for candidates taking part in all aspects of the selection process. To request accommodation, please contact your recruiter.",Data Scientist / Statistical Modeler,"Chicago, IL",3.2,-1,96 k$-154 k$ (Esti. de Glassdoor),-1,-1,Filiale ou unité d'exploitation
"GoHealth
3.1",-1,-1,-1,-1,"Interested in cutting edge Machine Learning techniques in the areas of NLP, Time-Series Forecasting, and Survival Analysis? As a Data Scientist at GoHealth, you will be responsible for working closely with business stakeholders to build end-to-end data science models across all aspects of our diverse business. This includes projects for call-center traffic projection, agent-behavior modeling, and customer retention decay curves.

Due to the unprecedented situation of COVID-19, GoHealth has decided to protect our current and future employees by managing our business remotely. This is inclusive of interviewing, onboarding and each role day-to-day. Please consider that our roles will not be remote long-term and will return to an office setting once we're safe to do so following the guidance of local health authorities' and the CDC.

Responsibilities:
Lead quantitative analyses with product management, business stakeholders, and data engineers in identifying and solving business problems
Present analytical information in front of large groups of business users
Find innovative ways to combine data that do not naturally mesh together
Stay current with leading edge systems, methods, and best practices for data science and analytics; and successfully introduce technology and process changes across the organization
Drive the collaboration around actual performance and forecasts to directly impact business decisions and actions
Continually find ways to improve how the team operates and delivers results that align with GoHealth's objectives
Skills and Experience:
Master's or PhD in Statistics, Mathematics, Computer Science, or related quantitative field
2+ years of experience demonstrating trajectory of professional growth in software engineering, data science, or data engineering
Proficient in Python and related libraries, such as Pandas, Numpy, Scikit-Learn, TensorFlow, Pytorch
Experience in advanced machine learning topics, including NLP, deep learning, and unsupervised learning
Practical experience in software engineering, and in building and deploying RESTful services
Experience working with Scrum and/or other Agile methodologies, as well as Version control systems such as Git or Bitbucket
Benefits and Perks:
Open vacation policy
401k program with company match
Medical, dental, vision, and life insurance benefits
Flexible spending accounts
Subsidized gym memberships
Commuter and transit benefits
Professional growth opportunities
Casual dress code
Generous employee referral bonuses
Happy hours, ping-pong tournaments, and more company-sponsored events
GoHealth is an Equal Opportunity Employer
#LI-JC1",Data Scientist,"Chicago, IL",3.1,-1,96 k$-154 k$ (Esti. de Glassdoor),-1,-1,Entreprise non cotée en bourse
"Wolverine Trading
4.1",-1,-1,-1,-1,"Data Scientist / Quantitative Researcher – High Frequency Futures
Location


Chicago

Job Department


Trading

Apply Now

Position Title: Data Scientist / Quantitative Researcher – High Frequency Futures

Location: Chicago

Department: Trading

Position Summary

We are looking for highly skilled and experienced individuals to join a research effort focused on generating high frequency trading alphas in the futures markets. The ideal candidate has direct experience in the alpha research process and understands the workflow from idea generation to production implementation. This opportunity will provide the right candidate the chance to have a large impact on the direction and productivity of a newly formed effort within a successful proprietary trading firm.

Responsibilities

• Conduct financial data analysis on large datasets to generate profitable trading alphas.

• Define key metrics for model validation.

• Back testing and production performance monitoring.

• Contribute to in-house data analysis packages and research framework development.

• Acquisition of new data sets and cleaning/maintenance of new and existing data sets.

Requirements

• At least 2+ years of experience generating or implementing short-term trading alphas into production trading strategies.

• Advanced knowledge of modern statistical and machine learning techniques.

• Proficiency in a scripting language such as Python, R, or MATLAB.

• Proficiency in at least one statistical package and one machine learning package in one of the above languages.

• Demonstrated experience working with tick data.

• Degree in a quantitative discipline such as Statistics, Computer Science, Mathematics, Engineering, etc.

• Experience developing software systems an in object oriented language is a plus.

About Wolverine

Founded in 1994, the Wolverine companies comprise a number of diversified financial institutions specializing in proprietary trading, asset management, order execution services, and technology solutions. We are recognized as a market leader in derivatives valuation, trading, and value-added order execution across global equity, options, and futures markets. With a focus on innovation, achievement, and integrity, we take pride in serving the interests of both our clients and colleagues. The Wolverine companies are headquartered in Chicago with offices in New York and San Francisco and a proprietary trading affiliate office located in London.

Sponsorship is not available for this position.",Data Scientist / Quantitative Researcher – High Frequency Futures,"Chicago, IL",4.1,-1,96 k$-154 k$ (Esti. de Glassdoor),-1,-1,Entreprise non cotée en bourse
Quaxigma,-1,-1,-1,-1,"We are strategically building and growing our data science team to support QuaXigma's growth as a startup company. We have a 6 month internship position for entry-level candidates. Return offer for full-time role is a possibility. Please indicate your start date and work authorization when apply. OPT candidates are welcome to apply too. Note that we only consider post-graduation candidates. Candidates without completion of their degrees will not be considered.

QuaXigma is a data analytics startup company based in greater Chicago area. Our mission is to deliver value to businesses by increasing data maturity as a business asset and pioneering innovation by implementing analytical platforms to transform business operations and drive organic business growth.

TheData Scientist Intern (Retail Analytics) is responsible for applying advanced analytics including both descriptive and predictive analytics to support the business use cases in sales such as to prevent customer churn, identify cross-sell and up-sell opportunities, implement customer personalization, pricing, and new customer acquisitions. This role will need to understand business requirements, conduct quick research, and generate fast prototyping by working closely with business partners. This role will need to communicate findings to ensure models are well understood and incorporated into business processes.

Key Responsibilities
Design and build models/algorithms to drive predictive & prescriptive analytics to accelerate business decisions and drive real-time analytical insights
Research and brainstorm with internal stakeholders to identify advanced analytics opportunities to advance automation, help with knowledge discovery, support decision-making, gain insights from data, streamline business processes, and enable new capabilities
Implement advanced analytics solutions to produce value corporate’s unstructured and structured data assets utilizing methodologies from machine learning, deep learning, artificial intelligence, and natural language processing
Develop end-to-end efficient model solutions that drive measurable outcomes. Manage the model development lifecycle, including both working with IT partners to identify what data are needed, and training the business end-users on how to leverage the modeling output
Prepare documentation, reports, and presentations that explain advanced analytics concepts, technology, and inner workings of solutions to broader teams including non-technical audiences
Job Qualifications
1 year experience in solving complex business problems (retail experience required) using data science, statistical techniques & machine learning to build predictive & prescriptive solutions
MS required or PhD preferred in a quantitative field such statistics, econometrics, operations research, computer science, applied mathematics
Experience in managing and manipulating large, complex datasets
Experience in executing on complex projects, extracting, cleansing, and manipulating large, diverse structured and unstructured data sets on relational – SQL, NOSQL databases
Working knowledge of machine learning/artificial intelligence. These technical skills include, but not limited to, regression techniques, neural networks, decision trees, clustering, pattern recognition, probability theory, stochastic systems, Bayesian inference, statistical techniques, deep learning, supervised learning, unsupervised learning
2+ years of hands-on experience with programming languages such as R, Python and common machine learning packages such as dplyr, gbm, glmnet, randomForest, caret, H2o, Numpy, Pandas, scikit-learn, keras, tensorflow, etc.
Good communication and presentation skills, with the ability to tailor the communication style to the right audience
Able to work in an agile environment with iterative development & business feedback
Experience providing insights to support strategic decisions, including preparing and delivering insights and recommendations
Job Type: Internship

Salary: $20.00 /hour

Experience:
machine learning: 1 year (Required)
Retail Analytics: 1 year (Required)
Education:
Master's (Required)
Application Question:
What is your work authorization (such as OPT, H1B, green card, citizen)?
Work Location:
One location
Internship Compensation:
Pay
This Job Is Ideal for Someone Who Is:
Detail-oriented -- would rather focus on the details of work than the bigger picture
Achievement-oriented -- enjoys taking on challenges, even if they might fail
Innovative -- prefers working in unconventional ways or on tasks that require creativity
Schedule:
Monday to Friday
Company's website:
https://www.quaxigma.com/
Work Remotely:
Temporarily due to COVID-19",Data Scientist Intern - Retail Analytics,"Schaumburg, IL",-1,-1,96 k$-154 k$ (Esti. de Glassdoor),-1,-1,-1
